src_subject_id,session_id,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_administer_type,param_video_subject,param_video_filename,param_cond_type,param_trigger_onset,param_start_biopac,event01_fixation_onset,event01_fixation_biopac,event01_fixation_duration,event02_cue_onset,event02_cue_biopac,event02_cue_type,event02_cue_filename,event04_expect_displayonset,event03_expect_biopac,event03_expect_responseonset,event03_expect_RT,event04_fixation_onset,event04_fixation_biopac,event04_fixation_duration,event05_administer_type,event05_administer_filename,event05_administer_onset,event05_administer_biopac,event06_actual_displayonset,event06_actual_biopac,event06_actual_responseonset,event06_actual_RT,param_end_instruct_onset,param_end_biopac,param_experiment_duration,event03_expect_displayonset
7,4,3,4,2,low,med,092-ch092,ch092t2aaaff_M.mp4,3,1605266638.15536,1605266638.15798,1605266919.57182,1605266919.58516,1.61475157737732,1605266921.20577,1605266921.20689,low,l009.png,0,1605266922.21048,NaN,NaN,1605266926.241,1605266926.25177,0.612224340438843,ch092t2aaaff_M.mp4,ch092t2aaaff_M.mp4,1605266928.10724,1605266928.10541,1605266933.37703,1605266933.35711,NaN,NaN,0,0,0,1605266922.22282
7,4,3,4,2,low,med,042-ll042,ll042t1afunaff_M.mp4,3,1605266638.15536,1605266638.15798,1605266937.41189,1605266937.41369,1.30327749252319,1605266938.72905,1605266938.73493,low,l022.png,0,1605266939.73865,NaN,NaN,1605266943.76429,1605266943.7682,2.10563659667969,ll042t1afunaff_M.mp4,ll042t1afunaff_M.mp4,1605266947.12448,1605266947.12241,1605266952.40089,1605266952.37499,NaN,NaN,0,0,0,1605266939.74611
7,4,3,4,2,high,high,049-bm049,bm049t2aeunaff_H.mp4,6,1605266638.15536,1605266638.15798,1605266956.41907,1605266956.42092,1.70353102684021,1605266958.13638,1605266958.13848,high,h054.png,0,1605266959.14252,NaN,NaN,1605266963.17162,1605266963.17336,0.603447675704956,bm049t2aeunaff_H.mp4,bm049t2aeunaff_H.mp4,1605266965.02898,1605266965.02725,1605266970.30765,1605266970.28105,NaN,NaN,0,0,0,1605266959.15344
7,4,3,4,2,low,high,080-bn080,bn080t1afaff_H.mp4,5,1605266638.15536,1605266638.15798,1605266974.32583,1605266974.33517,2.11085891723633,1605266976.4433,1605266976.45211,low,l027.png,0,1605266977.45584,NaN,NaN,1605266981.47853,1605266981.48516,0.608545780181885,bn080t1afaff_H.mp4,bn080t1afaff_H.mp4,1605266983.34155,1605266983.33932,1605266988.61456,1605266988.59105,NaN,NaN,0,0,0,1605266977.46035
7,4,3,4,2,low,med,047-jl047,jl047t1aiunaff_M.mp4,3,1605266638.15536,1605266638.15798,1605266992.63274,1605266992.63516,2.60406446456909,1605266995.2504,1605266995.25235,low,l035.png,0,1605266996.25631,NaN,NaN,1605267000.28563,1605267000.28681,1.40255260467529,jl047t1aiunaff_M.mp4,jl047t1aiunaff_M.mp4,1605267002.94236,1605267002.94039,1605267008.20529,1605267008.19099,NaN,NaN,0,0,0,1605266996.26745
7,4,3,4,2,high,low,108-th108,th108t1aaunaff_L.mp4,2,1605266638.15536,1605266638.15798,1605267012.22347,1605267012.23539,3.01342964172363,1605267015.24128,1605267015.25237,high,h002.png,0,1605267016.25613,NaN,NaN,1605267020.29319,1605267020.29494,0.803268194198608,th108t1aaunaff_L.mp4,th108t1aaunaff_L.mp4,1605267022.35042,1605267022.34865,1605267027.62929,1605267027.6039,NaN,NaN,0,0,0,1605267016.275
7,4,3,4,2,low,high,047-jl047,jl047t1aiaff_H.mp4,5,1605266638.15536,1605266638.15798,1605267031.64747,1605267031.6519,2.60616064071655,1605267034.26512,1605267034.26877,low,l032.png,0,1605267035.27278,NaN,NaN,1605267039.30036,1605267039.30174,2.60269856452942,jl047t1aiaff_H.mp4,jl047t1aiaff_H.mp4,1605267043.15744,1605267043.15546,1605267048.43714,1605267048.41128,NaN,NaN,0,0,0,1605267035.28218
7,4,3,4,2,high,high,064-ak064,ak064t1aaaff_H.mp4,6,1605266638.15536,1605266638.15798,1605267052.45532,1605267052.46858,1.41489100456238,1605267053.8892,1605267053.89118,high,h040.png,0,1605267054.89461,NaN,NaN,1605267058.92443,1605267058.92656,1.10361480712891,ak064t1aaaff_H.mp4,ak064t1aaaff_H.mp4,1605267061.28196,1605267061.27995,1605267066.56064,1605267066.53479,NaN,NaN,0,0,0,1605267054.90625
7,4,3,4,2,low,med,108-th108,th108t2aaunaff_M.mp4,3,1605266638.15536,1605266638.15798,1605267070.5955,1605267070.59728,2.10372543334961,1605267072.71296,1605267072.7183,low,l037.png,0,1605267073.72162,NaN,NaN,1605267077.7482,1605267077.75249,0.805949926376343,th108t2aaunaff_M.mp4,th108t2aaunaff_M.mp4,1605267079.80827,1605267079.80621,1605267085.0843,1605267085.05803,NaN,NaN,0,0,0,1605267073.73002
7,4,3,4,2,high,low,052-dr052,dr052t1aeunaff_L.mp4,2,1605266638.15536,1605266638.15798,1605267089.10248,1605267089.1043,2.2031934261322,1605267091.31998,1605267091.32097,high,h050.png,0,1605267092.32479,NaN,NaN,1605267096.35522,1605267096.35694,0.603410482406616,dr052t1aeunaff_L.mp4,dr052t1aeunaff_L.mp4,1605267098.21293,1605267098.21107,1605267103.49124,1605267103.4646,NaN,NaN,0,0,0,1605267092.33703
