src_subject_id,session_id,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_administer_type,param_video_subject,param_video_filename,param_cond_type,param_trigger_onset,param_start_biopac,event01_fixation_onset,event01_fixation_biopac,event01_fixation_duration,event02_cue_onset,event02_cue_biopac,event02_cue_type,event02_cue_filename,event03_expect_displayonset,event03_expect_biopac,event03_expect_responseonset,event03_expect_RT,event04_fixation_onset,event04_fixation_biopac,event04_fixation_duration,event05_administer_type,event05_administer_filename,event05_administer_displayonset,event05_administer_biopac,event06_actual_displayonset,event06_actual_biopac,event06_actual_responseonset,event06_actual_RT,param_end_instruct_onset,param_end_biopac,param_experiment_duration
1,4,3,3,2,low,high,124-dn124,dn124t1aiaff_H.mp4,5,1605918203.31917,1605918203.32174,1605918542.80155,1605918542.8044,1.40099382400513,1605918544.21875,1605918544.22145,low,l026.png,1605918545.21912,1605918545.2065,NaN,NaN,1605918549.23728,1605918549.23944,0.501093626022339,dn124t1aiaff_H.mp4,dn124t1aiaff_H.mp4,1605918550.99191,1605918550.98939,1605918556.27324,1605918556.24403,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,low,low,097-gf097,gf097t2aiunaff_L.mp4,1,1605918203.31917,1605918203.32174,1605918560.30808,1605918560.31025,1.60104393959045,1605918561.92535,1605918561.92723,low,l005.png,1605918562.92572,1605918562.9126,NaN,NaN,1605918566.94389,1605918566.94605,0.90103554725647,gf097t2aiunaff_L.mp4,gf097t2aiunaff_L.mp4,1605918569.09812,1605918569.09592,1605918574.37999,1605918574.35019,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,med,101-mg101,mg101t2aeunaff_M.mp4,4,1605918203.31917,1605918203.32174,1605918578.41483,1605918578.42148,3.40103387832642,1605918581.83277,1605918581.83771,high,h047.png,1605918582.83315,1605918582.8197,NaN,NaN,1605918586.85131,1605918586.85445,0.701158046722412,mg101t2aeunaff_M.mp4,mg101t2aeunaff_M.mp4,1605918588.80593,1605918588.80361,1605918594.08734,1605918594.05802,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,low,low,048-aa048,aa048t2aaunaff_L.mp4,1,1605918203.31917,1605918203.32174,1605918598.12218,1605918598.12441,1.20113229751587,1605918599.3393,1605918599.34198,low,l008.png,1605918600.33967,1605918600.32704,NaN,NaN,1605918604.35784,1605918604.35987,0.700940370559692,aa048t2aaunaff_L.mp4,aa048t2aaunaff_L.mp4,1605918606.31181,1605918606.30972,1605918611.59387,1605918611.56415,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,low,106-nm106,nm106t1aaunaff_L.mp4,2,1605918203.31917,1605918203.32174,1605918615.62871,1605918615.63116,1.20089316368103,1605918616.84583,1605918616.84817,high,h051.png,1605918617.8462,1605918617.83338,NaN,NaN,1605918621.86437,1605918621.87121,0.801035642623901,nm106t1aaunaff_L.mp4,nm106t1aaunaff_L.mp4,1605918623.9188,1605918623.91658,1605918629.20044,1605918629.17088,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,med,123-jh123,jh123t2aaaff_M.mp4,4,1605918203.31917,1605918203.32174,1605918633.23528,1605918633.23791,3.80115652084351,1605918637.05336,1605918637.05554,high,h052.png,1605918638.05374,1605918638.03986,NaN,NaN,1605918642.0719,1605918642.07402,0.80100679397583,jh123t2aaaff_M.mp4,jh123t2aaaff_M.mp4,1605918644.12614,1605918644.12391,1605918649.40797,1605918649.37818,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,low,med,124-dn124,dn124t1aeunaff_M.mp4,3,1605918203.31917,1605918203.32174,1605918653.42614,1605918653.43764,1.20133590698242,1605918654.64326,1605918654.64519,low,l009.png,1605918655.64363,1605918655.63159,NaN,NaN,1605918659.6618,1605918659.67117,0.801116466522217,dn124t1aeunaff_M.mp4,dn124t1aeunaff_M.mp4,1605918661.71638,1605918661.71386,1605918666.99787,1605918666.96869,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,low,high,106-nm106,nm106t1afaff_H.mp4,5,1605918203.31917,1605918203.32174,1605918671.0327,1605918671.03465,1.20102620124817,1605918672.24982,1605918672.25472,low,l036.png,1605918673.2502,1605918673.23723,NaN,NaN,1605918677.28504,1605918677.28758,2.50096988677979,nm106t1afaff_H.mp4,nm106t1afaff_H.mp4,1605918681.03954,1605918681.03703,1605918686.32174,1605918686.29191,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,high,107-hs107,hs107t1afaff_H.mp4,6,1605918203.31917,1605918203.32174,1605918690.3399,1605918690.35463,1.30109715461731,1605918691.65706,1605918691.6594,high,h055.png,1605918692.65743,1605918692.64447,NaN,NaN,1605918696.6756,1605918696.67766,0.500986576080322,hs107t1afaff_H.mp4,hs107t1afaff_H.mp4,1605918698.42971,1605918698.42754,1605918703.71156,1605918703.68171,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,high,123-jh123,jh123t1aeaff_H.mp4,6,1605918203.31917,1605918203.32174,1605918707.74639,1605918707.74855,2.90106916427612,1605918710.66415,1605918710.66658,high,h042.png,1605918711.66452,1605918711.65189,NaN,NaN,1605918715.68269,1605918715.68791,0.801086902618408,jh123t1aeaff_H.mp4,jh123t1aeaff_H.mp4,1605918717.7373,1605918717.73489,1605918723.01876,1605918722.98939,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,low,med,096-bg096,bg096t2aaaff_M.mp4,3,1605918203.31917,1605918203.32174,1605918727.05359,1605918727.05663,2.00094413757324,1605918729.07101,1605918729.07304,low,l023.png,1605918730.07139,1605918730.05845,NaN,NaN,1605918734.08955,1605918734.09163,0.700959920883179,bg096t2aaaff_M.mp4,bg096t2aaaff_M.mp4,1605918736.0436,1605918736.04149,1605918741.32558,1605918741.29558,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,high,080-bn080,bn080t1afaff_H.mp4,6,1605918203.31917,1605918203.32174,1605918745.34375,1605918745.35426,1.20100665092468,1605918746.56087,1605918746.56259,high,h043.png,1605918747.56124,1605918747.5484,NaN,NaN,1605918751.57941,1605918751.58804,0.701074600219727,bn080t1afaff_H.mp4,bn080t1afaff_H.mp4,1605918753.53437,1605918753.53175,1605918758.81544,1605918758.78655,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,med,097-gf097,gf097t1aiaff_M.mp4,4,1605918203.31917,1605918203.32174,1605918762.85028,1605918762.85253,1.90123915672302,1605918764.76766,1605918764.77149,high,h053.png,1605918765.76803,1605918765.75516,NaN,NaN,1605918769.7862,1605918769.78826,1.20116019248962,gf097t1aiaff_M.mp4,gf097t1aiaff_M.mp4,1605918772.24074,1605918772.2386,1605918777.52242,1605918777.49289,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,low,042-ll042,ll042t1aaunaff_L.mp4,2,1605918203.31917,1605918203.32174,1605918781.55725,1605918781.55956,1.10100102424622,1605918782.67434,1605918782.67613,high,h044.png,1605918783.67471,1605918783.66212,NaN,NaN,1605918787.69288,1605918787.69491,0.500999927520752,ll042t1aaunaff_L.mp4,ll042t1aaunaff_L.mp4,1605918789.44727,1605918789.44505,1605918794.72883,1605918794.6994,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,low,high,097-gf097,gf097t2aaunaff_H.mp4,5,1605918203.31917,1605918203.32174,1605918798.76367,1605918798.76552,1.80104327201843,1605918800.58101,1605918800.58276,low,l027.png,1605918801.58139,1605918801.56813,NaN,NaN,1605918805.59955,1605918805.60457,0.601116180419922,gf097t2aaunaff_H.mp4,gf097t2aaunaff_H.mp4,1605918807.45373,1605918807.45164,1605918812.73555,1605918812.70578,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,low,low,107-hs107,hs107t2aeunaff_L.mp4,1,1605918203.31917,1605918203.32174,1605918816.75371,1605918816.77125,5.90098738670349,1605918822.67259,1605918822.67539,low,l034.png,1605918823.67296,1605918823.6577,NaN,NaN,1605918827.69112,1605918827.69296,0.80101752281189,hs107t2aeunaff_L.mp4,hs107t2aeunaff_L.mp4,1605918829.74525,1605918829.74316,1605918835.0272,1605918834.99727,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,low,101-mg101,mg101t2afunaff_L.mp4,2,1605918203.31917,1605918203.32174,1605918839.06203,1605918839.06416,2.00126004219055,1605918841.07945,1605918841.082,high,h048.png,1605918842.07982,1605918842.06692,NaN,NaN,1605918846.09799,1605918846.10461,0.701053619384766,mg101t2afunaff_L.mp4,mg101t2afunaff_L.mp4,1605918848.05236,1605918848.04997,1605918853.33402,1605918853.30464,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,low,low,121-vw121,vw121t1aeaff_L.mp4,1,1605918203.31917,1605918203.32174,1605918857.36886,1605918857.38902,1.80111336708069,1605918859.1862,1605918859.18847,low,l020.png,1605918860.18658,1605918860.17366,NaN,NaN,1605918864.20474,1605918864.20662,1.00101518630981,vw121t1aeaff_L.mp4,vw121t1aeaff_L.mp4,1605918866.45911,1605918866.45674,1605918871.74089,1605918871.71146,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
