src_subject_id,session_id,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_administer_type,param_cond_type,param_trigger_onset,param_start_biopac,event01_fixation_onset,event01_fixation_biopac,event01_fixation_duration,event02_cue_onset,event02_cue_biopac,event02_cue_type,event02_cue_filename,event03_expect_displayonset,event03_rating_biopac,event03_expect_responseonset,event03_expect_RT,event04_fixation_onset,event04_fixation_biopac,event04_fixation_duration,event05_administer_type,event05_administer_displayonset,event05_administer_biopac,event06_actual_onset,event06_actual_biopac,event06_actual_responseonset,event06_actual_RT,param_end_instruct_onset,param_end_biopac,param_experiment_duration,event03_expect_biopac,event03_expect_onset
1,1,3,3,2,high,50,6,1605912036.20951,1605912036.21212,1605912224.86212,1605912224.87074,1.41047167778015,1605912226.27931,1605912226.28705,high,h014.png,0,0,NaN,NaN,1605912231.44791,1605912231.45382,0.907572031021118,50,1605912232.41493,1605912232.4208,1605912238.93403,1605912238.92427,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912227.41703,1605912227.42974
1,1,3,3,2,high,48,2,1605912036.20951,1605912036.21212,1605912242.96887,1605912242.97278,3.60593175888062,1605912246.58689,1605912246.58877,high,h010.png,0,0,NaN,NaN,1605912251.75548,1605912251.75781,0.704085111618042,48,1605912252.52243,1605912252.52462,1605912259.04153,1605912259.028,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912247.72082,1605912247.73731
1,1,3,3,2,low,49,3,1605912036.20951,1605912036.21212,1605912263.07637,1605912263.07838,2.00353932380676,1605912265.09379,1605912265.09602,low,l012.png,0,0,NaN,NaN,1605912270.24571,1605912270.25349,0.709468841552734,49,1605912270.99599,1605912271.00389,1605912277.51509,1605912277.50714,1605912280.2358,2.72069835662842,1605912718.94637,1605912718.95436,682.736864089966,1605912266.21778,1605912266.22754
1,1,3,3,2,low,48,1,1605912036.20951,1605912036.21212,1605912281.58327,1605912281.58718,1.20601010322571,1605912282.80039,1605912282.80368,low,l007.png,0,0,NaN,NaN,1605912287.96899,1605912287.97143,0.704164981842041,48,1605912288.73594,1605912288.75396,1605912295.27171,1605912295.25736,1605912296.43932,1.16760230064392,1605912718.94637,1605912718.95436,682.736864089966,1605912283.94498,1605912283.95082
1,1,3,3,2,low,48,1,1605912036.20951,1605912036.21212,1605912299.33989,1605912299.34238,1.10445165634155,1605912300.45697,1605912300.45944,low,l025.png,0,0,NaN,NaN,1605912305.62557,1605912305.62778,2.30400466918945,48,1605912307.99312,1605912308.0049,1605912314.52889,1605912314.50844,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912301.59822,1605912301.6074
1,1,3,3,2,low,48,1,1605912036.20951,1605912036.21212,1605912318.56373,1605912318.57007,1.10793781280518,1605912319.68081,1605912319.6873,low,l014.png,0,0,NaN,NaN,1605912324.89942,1605912324.90414,1.60613012313843,48,1605912326.55004,1605912326.55371,1605912333.06914,1605912333.05728,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912320.86163,1605912320.88126
1,1,3,3,2,low,49,3,1605912036.20951,1605912036.21212,1605912337.10397,1605912337.10618,3.60383248329163,1605912340.72199,1605912340.72474,low,l005.png,0,0,NaN,NaN,1605912345.92393,1605912345.92611,0.904060125350952,49,1605912346.9243,1605912346.92691,1605912353.4434,1605912353.43062,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912341.89058,1605912341.90577
1,1,3,3,2,low,48,1,1605912036.20951,1605912036.21212,1605912357.47824,1605912357.48753,1.81109714508057,1605912359.29558,1605912359.3039,low,l002.png,0,0,NaN,NaN,1605912364.48085,1605912364.48732,0.708198308944702,48,1605912365.23113,1605912365.23682,1605912371.75023,1605912371.74015,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912360.4524,1605912360.46269
1,1,3,3,2,low,49,3,1605912036.20951,1605912036.21212,1605912375.78507,1605912375.78714,1.80373334884644,1605912377.60241,1605912377.60517,low,l038.png,0,0,NaN,NaN,1605912382.80435,1605912382.80655,0.703619241714478,49,1605912383.5713,1605912383.57355,1605912390.0904,1605912390.07735,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912378.77116,1605912378.78618
1,1,3,3,2,high,48,2,1605912036.20951,1605912036.21212,1605912394.12524,1605912394.12734,4.60420751571655,1605912398.74363,1605912398.74603,high,h034.png,0,0,NaN,NaN,1605912403.9289,1605912403.93713,0.609918594360352,48,1605912404.59581,1605912404.60414,1605912411.11491,1605912411.10761,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912399.89305,1605912399.91073
1,1,3,3,2,low,50,5,1605912036.20951,1605912036.21212,1605912415.14975,1605912415.15391,2.40606737136841,1605912417.56731,1605912417.57062,low,l052.png,0,0,NaN,NaN,1605912422.71924,1605912422.72121,0.703635454177856,50,1605912423.50286,1605912423.50524,1605912430.02196,1605912430.00922,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912418.68596,1605912418.70107
1,1,3,3,2,low,50,5,1605912036.20951,1605912036.21212,1605912434.0568,1605912434.05899,1.50394821166992,1605912435.57403,1605912435.57606,low,l017.png,0,0,NaN,NaN,1605912440.80931,1605912440.8201,0.912428140640259,50,1605912441.79302,1605912441.80364,1605912448.32879,1605912448.30671,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912436.7852,1605912436.79115
1,1,3,3,2,low,50,5,1605912036.20951,1605912036.21212,1605912452.36362,1605912452.3706,1.40851616859436,1605912453.78082,1605912453.78732,low,l011.png,0,0,NaN,NaN,1605912458.94941,1605912458.95422,2.30660629272461,50,1605912461.33364,1605912461.33733,1605912467.85273,1605912467.841,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912454.91858,1605912454.93125
1,1,3,3,2,low,49,3,1605912036.20951,1605912036.21212,1605912471.88757,1605912471.88971,2.70456147193909,1605912474.60525,1605912474.60723,low,l040.png,0,0,NaN,NaN,1605912479.77385,1605912479.77618,0.603909492492676,49,1605912480.42409,1605912480.43715,1605912486.95986,1605912486.94051,1605912487.96111,1.00123929977417,1605912718.94637,1605912718.95436,682.736864089966,1605912475.74766,1605912475.75568
1,1,3,3,2,high,49,4,1605912036.20951,1605912036.21212,1605912491.02804,1605912491.03031,2.40386390686035,1605912493.44561,1605912493.45382,high,h011.png,0,0,NaN,NaN,1605912498.64755,1605912498.65348,0.507491111755371,49,1605912499.21443,1605912499.22057,1605912505.73353,1605912505.72357,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912494.61334,1605912494.62939
1,1,3,3,2,high,50,6,1605912036.20951,1605912036.21212,1605912509.76837,1605912509.77045,2.10367655754089,1605912511.88582,1605912511.88776,high,h041.png,0,0,NaN,NaN,1605912517.07109,1605912517.07368,0.904245376586914,50,1605912518.02144,1605912518.0369,1605912524.55721,1605912524.53996,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912513.04454,1605912513.05292
1,1,3,3,2,high,48,2,1605912036.20951,1605912036.21212,1605912528.59205,1605912528.59405,2.50386309623718,1605912531.10966,1605912531.11195,high,h024.png,0,0,1605912534.1189,1.82545709609985,1605912536.34494,1605912536.34716,0.703985929489136,48,1605912537.12857,1605912537.13088,1605912543.64767,1605912543.6343,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912532.28664,1605912532.29343
