param_fmriSession,param_counterbalanceVer,param_counterbalanceBlockNum,param_cue_type,param_administer_type,param_cond_type,param_trigger_onset,event01_fixation_onset,event01_fixation_biopac,event01_fixation_duration,event02_cue_onset,event02_cue_biopac,event02_cue_type,event02_cue_filename,event03_expect_onset,event03_rating_biopac,event03_expect_responseonset,event03_expect_RT,event04_fixation_onset,event04_fixation_biopac,event04_fixation_duration,event05_administer_type,event05_administer_filename,event05_administer_onset,event05_stimulus_biopac,event05_administer_response,event05_administer_reseponseonset,event05_response_biopac,event05_administer_RT,event06_actual_onset,event06_actual_responseonset,event06_actual_RT,event06_actual_biopac,param_end_instruct_onset,param_end_biopac,param_experiment_duration,param_runNum,param_cogStimNum,param_cogStimMatch,param_cogStimFilename
1,3,1,low,50,1,1603293015.82321,1603293252.01439,0,3.00111031532288,1603293255.04886,0,low,l053.png,1603293256.09925,0,NaN,NaN,1603293260.11743,0,0.000578403472900391,50,47_50.jpg,1603293260.15077,0,99,1603293266.65395,0,NaN,1603293266.68656,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,47,same,47_50.jpg
1,3,1,high,150,6,1603293015.82321,1603293270.70473,0,1.20104622840881,1603293271.93853,0,high,h039.png,1603293272.98892,0,NaN,NaN,1603293277.0071,0,0.000850200653076172,150,45_150.jpg,1603293277.04045,0,99,1603293283.54323,0,NaN,1603293283.57623,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,45,same,45_150.jpg
1,3,1,low,50,1,1603293015.82321,1603293287.59441,0,1.80119180679321,1603293289.42843,0,low,l038.png,1603293290.47882,0,NaN,NaN,1603293294.497,0,0.000747442245483398,50,43_50_R.jpg,1603293294.53034,0,99,1603293301.03203,0,NaN,1603293301.06613,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,43,different,43_50_R.jpg
1,3,1,low,50,1,1603293015.82321,1603293305.0843,0,1.50107431411743,1603293306.61821,0,low,l040.png,1603293307.66861,0,NaN,NaN,1603293311.68678,0,0.000821352005004883,50,44_50_R.jpg,1603293311.72013,0,99,1603293318.22192,0,NaN,1603293318.25591,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,44,different,44_50_R.jpg
1,3,1,low,150,5,1603293015.82321,1603293322.27409,0,1.40100884437561,1603293323.70796,0,low,l006.png,1603293324.75835,0,NaN,NaN,1603293328.77653,0,0.000951290130615234,150,43_150.jpg,1603293328.80987,0,99,1603293335.31038,0,NaN,1603293335.34566,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,43,same,43_150.jpg
1,3,1,high,50,2,1603293015.82321,1603293339.36384,0,3.00103449821472,1603293342.39831,0,high,h013.png,1603293343.4487,0,NaN,NaN,1603293347.46688,0,0.000750541687011719,50,25_50.jpg,1603293347.50022,0,99,1603293354.00214,0,NaN,1603293354.03601,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,25,same,25_50.jpg
1,3,1,low,50,1,1603293015.82321,1603293358.05418,0,1.10111594200134,1603293359.18794,0,low,l018.png,1603293360.23834,0,NaN,NaN,1603293364.25651,0,0.000912189483642578,50,14_50_R.jpg,1603293364.28986,0,99,1603293370.79086,0,NaN,1603293370.82564,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,14,different,14_50_R.jpg
1,3,1,high,150,6,1603293015.82321,1603293374.84382,0,1.00098133087158,1603293375.87754,0,high,h037.png,1603293376.92793,0,NaN,NaN,1603293380.94611,0,0.000708103179931641,150,7_150_R.jpg,1603293380.97945,0,99,1603293387.47994,0,NaN,1603293387.51524,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,7,different,7_150_R.jpg
1,3,1,high,100,4,1603293015.82321,1603293391.53341,0,1.40094614028931,1603293392.96729,0,high,h050.png,1603293394.01768,0,NaN,NaN,1603293398.03586,0,0.00103569030761719,100,25_100.jpg,1603293398.0692,0,99,1603293404.57113,0,NaN,1603293404.60499,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,25,same,25_100.jpg
1,3,1,high,100,4,1603293015.82321,1603293408.62316,0,1.50103712081909,1603293410.15707,0,high,h042.png,1603293411.20746,0,NaN,NaN,1603293415.22564,0,0.00117850303649902,100,47_100_R.jpg,1603293415.25898,0,99,1603293421.75943,0,NaN,1603293421.79477,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,47,different,47_100_R.jpg
1,3,1,low,100,3,1603293015.82321,1603293425.81295,0,2.60109424591064,1603293428.44727,0,low,l019.png,1603293429.49766,0,NaN,NaN,1603293433.51584,0,0.000658988952636719,100,7_100_R.jpg,1603293433.54918,0,99,1603293440.05113,0,NaN,1603293440.08497,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,7,different,7_100_R.jpg
